"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.444279687E0,1.427135766E-1,-2.228522897E-1,9.814599037E0,9.818166049E0
1.449242187E0,1.463431865E-1,-1.883566380E-1,9.783972740E0,9.786879847E0
1.454206250E0,1.796417385E-1,-2.151142210E-1,9.790733337E0,9.794743721E0
1.459168750E0,1.644337773E-1,-2.283493876E-1,9.762118340E0,9.766173068E0
1.464131250E0,9.337386489E-2,-2.138309479E-1,9.771570206E0,9.774355561E0
1.469095312E0,1.400033385E-1,-2.208411694E-1,9.751497269E0,9.755002344E0
1.474057812E0,1.463240385E-1,-1.941697598E-1,9.809552193E0,9.812564743E0
1.479021875E0,1.052969918E-1,-1.808675677E-1,9.851622581E0,9.853845342E0
1.483984375E0,1.392467618E-1,-1.656787544E-1,9.812625885E0,9.815012270E0
1.488948437E0,1.065419763E-1,-1.604593992E-1,9.840743065E0,9.842627824E0
1.493910937E0,1.382890940E-1,-1.836352646E-1,9.793434143E0,9.796131793E0
1.498873437E0,1.136575416E-1,-1.954051703E-1,9.779155731E0,9.781768144E0
1.503837500E0,9.663955867E-2,-2.670109570E-1,9.868831635E0,9.872916078E0
1.508800000E0,1.162145510E-1,-2.157175690E-1,9.780151367E0,9.783220362E0
1.513764062E0,1.605168581E-1,-2.215115428E-1,9.740589142E0,9.744429683E0
1.518726562E0,1.707736254E-1,-2.361353338E-1,9.815891266E0,9.820216132E0
1.523690625E0,1.436999887E-1,-1.907987148E-1,9.819090843E0,9.821995664E0
1.528653125E0,1.455770433E-1,-2.153345048E-1,9.820852280E0,9.824291380E0
1.533617187E0,1.398788393E-1,-2.154206783E-1,9.810988426E0,9.814350007E0
